surah_number,surah_name_arabic,surah_name_english,ayah_number,tafsir_text,tafsir_author,url,extraction_timestamp
75,القيامة,Al-Qiyamah,1,الباحث القرآني﴿لا أُقْسِمُ﴾ زائدة ومضارع فاعله مستتر و ﴿بِيَوْمِ﴾ متعلقان بالفعل و ﴿الْقِيامَةِ﴾ مضاف إليه والجملة ابتدائية لا محل لها ﴿وَلا أُقْسِمُ﴾ معطوف على ما قبله و ﴿بِالنَّفْسِ﴾ متعلقان بالفعل و ﴿اللَّوَّامَةِ﴾ صفة.,Iraab ul Quran,https://tafsir.app/iraab-daas/75/1,2025-06-30 15:16:32
75,القيامة,Al-Qiyamah,2,الباحث القرآني﴿لا أُقْسِمُ﴾ زائدة ومضارع فاعله مستتر و ﴿بِيَوْمِ﴾ متعلقان بالفعل و ﴿الْقِيامَةِ﴾ مضاف إليه والجملة ابتدائية لا محل لها ﴿وَلا أُقْسِمُ﴾ معطوف على ما قبله و ﴿بِالنَّفْسِ﴾ متعلقان بالفعل و ﴿اللَّوَّامَةِ﴾ صفة.,Iraab ul Quran,https://tafsir.app/iraab-daas/75/2,2025-06-30 15:16:34
75,القيامة,Al-Qiyamah,3,الباحث القرآني﴿أَيَحْسَبُ الْإِنْسانُ﴾ الهمزة حرف استفهام ومضارع وفاعله والجملة مستأنفة لا محل لها و ﴿أن﴾ مخففة من الثقيلة واسمها ضمير الشأن محذوف و ﴿لن نَجْمَعَ﴾ مضارع منصوب بلن والفاعل مستتر و ﴿عِظامَهُ﴾ مفعول به والجملة خبر أن المخففة والمصدر المؤول من أن وما بعدها سد مسد مفعولي يحسب و ﴿بَلى﴾ حرف جواب و ﴿قادِرِينَ﴾ حال و ﴿عَلى﴾ حرف جر و ﴿أَنْ نُسَوِّيَ﴾ مضارع منصوب بأن فاعله مستتر و ﴿بَنانَهُ﴾ مفعول به والمصدر المؤول من أن والفعل في محل جر بعلى والجار والمجرور متعلقان بقادرين.,Iraab ul Quran,https://tafsir.app/iraab-daas/75/3,2025-06-30 15:16:35
75,القيامة,Al-Qiyamah,4,الباحث القرآني﴿أَيَحْسَبُ الْإِنْسانُ﴾ الهمزة حرف استفهام ومضارع وفاعله والجملة مستأنفة لا محل لها و ﴿أن﴾ مخففة من الثقيلة واسمها ضمير الشأن محذوف و ﴿لن نَجْمَعَ﴾ مضارع منصوب بلن والفاعل مستتر و ﴿عِظامَهُ﴾ مفعول به والجملة خبر أن المخففة والمصدر المؤول من أن وما بعدها سد مسد مفعولي يحسب و ﴿بَلى﴾ حرف جواب و ﴿قادِرِينَ﴾ حال و ﴿عَلى﴾ حرف جر و ﴿أَنْ نُسَوِّيَ﴾ مضارع منصوب بأن فاعله مستتر و ﴿بَنانَهُ﴾ مفعول به والمصدر المؤول من أن والفعل في محل جر بعلى والجار والمجرور متعلقان بقادرين.,Iraab ul Quran,https://tafsir.app/iraab-daas/75/4,2025-06-30 15:16:37
75,القيامة,Al-Qiyamah,5,الباحث القرآني﴿بَلْ﴾ حرف إضراب انتقالي و ﴿يُرِيدُ الْإِنْسانُ﴾ مضارع وفاعله والجملة مستأنفة لا محل لها و ﴿لِيَفْجُرَ﴾ مضارع منصوب بأن مضمرة بعد لام التعليل و ﴿أَمامَهُ﴾ ظرف مكان والمصدر المؤول من أن المضمرة والفعل في محل جر باللام والجار والمجرور متعلقان بالفعل. و ﴿يَسْئَلُ﴾ مضارع فاعله مستتر و ﴿أَيَّانَ﴾ اسم استفهام في محل نصب على الظرفية الزمانية متعلق بمحذوف خبر مقدم و ﴿يَوْمُ﴾ مبتدأ مؤخر مضاف إلى ﴿الْقِيامَةِ﴾ والجملة الاسمية سدت مسد مفعولي يسأل وجملة يسأل.. مستأنفة لا محل لها.,Iraab ul Quran,https://tafsir.app/iraab-daas/75/5,2025-06-30 15:16:38
75,القيامة,Al-Qiyamah,6,الباحث القرآني﴿بَلْ﴾ حرف إضراب انتقالي و ﴿يُرِيدُ الْإِنْسانُ﴾ مضارع وفاعله والجملة مستأنفة لا محل لها و ﴿لِيَفْجُرَ﴾ مضارع منصوب بأن مضمرة بعد لام التعليل و ﴿أَمامَهُ﴾ ظرف مكان والمصدر المؤول من أن المضمرة والفعل في محل جر باللام والجار والمجرور متعلقان بالفعل. و ﴿يَسْئَلُ﴾ مضارع فاعله مستتر و ﴿أَيَّانَ﴾ اسم استفهام في محل نصب على الظرفية الزمانية متعلق بمحذوف خبر مقدم و ﴿يَوْمُ﴾ مبتدأ مؤخر مضاف إلى ﴿الْقِيامَةِ﴾ والجملة الاسمية سدت مسد مفعولي يسأل وجملة يسأل.. مستأنفة لا محل لها.,Iraab ul Quran,https://tafsir.app/iraab-daas/75/6,2025-06-30 15:16:40
75,القيامة,Al-Qiyamah,7,الباحث القرآني﴿فَإِذا﴾ الفاء حرف استئناف و ﴿إذا﴾ ظرفية شرطية غير جازمة و ﴿بَرِقَ الْبَصَرُ﴾ ماض وفاعله والجملة في محل جر بالإضافة ﴿وَخَسَفَ الْقَمَرُ﴾ معطوف على ما قبله و ﴿جُمِعَ﴾ ماض مبني للمجهول و ﴿الشَّمْسُ﴾ نائب فاعل و ﴿الْقَمَرُ﴾ معطوف على الشمس والجملة معطوفة على ما قبلها. ﴿يَقُولُ الْإِنْسانُ﴾ مضارع وفاعله والجملة جواب الشرط لا محل لها و ﴿يَوْمَئِذٍ﴾ يوم ظرف زمان مضاف إلى مثله و ﴿أَيْنَ﴾ اسم استفهام في محل نصب على الظرفية المكانية متعلق بمحذوف خبر مقدم و ﴿الْمَفَرُّ﴾ مبتدأ مؤخر والجملة الاسمية مقول القول.,Iraab ul Quran,https://tafsir.app/iraab-daas/75/7,2025-06-30 15:16:42
75,القيامة,Al-Qiyamah,8,الباحث القرآني﴿فَإِذا﴾ الفاء حرف استئناف و ﴿إذا﴾ ظرفية شرطية غير جازمة و ﴿بَرِقَ الْبَصَرُ﴾ ماض وفاعله والجملة في محل جر بالإضافة ﴿وَخَسَفَ الْقَمَرُ﴾ معطوف على ما قبله و ﴿جُمِعَ﴾ ماض مبني للمجهول و ﴿الشَّمْسُ﴾ نائب فاعل و ﴿الْقَمَرُ﴾ معطوف على الشمس والجملة معطوفة على ما قبلها. ﴿يَقُولُ الْإِنْسانُ﴾ مضارع وفاعله والجملة جواب الشرط لا محل لها و ﴿يَوْمَئِذٍ﴾ يوم ظرف زمان مضاف إلى مثله و ﴿أَيْنَ﴾ اسم استفهام في محل نصب على الظرفية المكانية متعلق بمحذوف خبر مقدم و ﴿الْمَفَرُّ﴾ مبتدأ مؤخر والجملة الاسمية مقول القول.,Iraab ul Quran,https://tafsir.app/iraab-daas/75/8,2025-06-30 15:16:43
75,القيامة,Al-Qiyamah,9,الباحث القرآني﴿فَإِذا﴾ الفاء حرف استئناف و ﴿إذا﴾ ظرفية شرطية غير جازمة و ﴿بَرِقَ الْبَصَرُ﴾ ماض وفاعله والجملة في محل جر بالإضافة ﴿وَخَسَفَ الْقَمَرُ﴾ معطوف على ما قبله و ﴿جُمِعَ﴾ ماض مبني للمجهول و ﴿الشَّمْسُ﴾ نائب فاعل و ﴿الْقَمَرُ﴾ معطوف على الشمس والجملة معطوفة على ما قبلها. ﴿يَقُولُ الْإِنْسانُ﴾ مضارع وفاعله والجملة جواب الشرط لا محل لها و ﴿يَوْمَئِذٍ﴾ يوم ظرف زمان مضاف إلى مثله و ﴿أَيْنَ﴾ اسم استفهام في محل نصب على الظرفية المكانية متعلق بمحذوف خبر مقدم و ﴿الْمَفَرُّ﴾ مبتدأ مؤخر والجملة الاسمية مقول القول.,Iraab ul Quran,https://tafsir.app/iraab-daas/75/9,2025-06-30 15:16:45
75,القيامة,Al-Qiyamah,10,الباحث القرآني﴿فَإِذا﴾ الفاء حرف استئناف و ﴿إذا﴾ ظرفية شرطية غير جازمة و ﴿بَرِقَ الْبَصَرُ﴾ ماض وفاعله والجملة في محل جر بالإضافة ﴿وَخَسَفَ الْقَمَرُ﴾ معطوف على ما قبله و ﴿جُمِعَ﴾ ماض مبني للمجهول و ﴿الشَّمْسُ﴾ نائب فاعل و ﴿الْقَمَرُ﴾ معطوف على الشمس والجملة معطوفة على ما قبلها. ﴿يَقُولُ الْإِنْسانُ﴾ مضارع وفاعله والجملة جواب الشرط لا محل لها و ﴿يَوْمَئِذٍ﴾ يوم ظرف زمان مضاف إلى مثله و ﴿أَيْنَ﴾ اسم استفهام في محل نصب على الظرفية المكانية متعلق بمحذوف خبر مقدم و ﴿الْمَفَرُّ﴾ مبتدأ مؤخر والجملة الاسمية مقول القول.,Iraab ul Quran,https://tafsir.app/iraab-daas/75/10,2025-06-30 15:16:47
75,القيامة,Al-Qiyamah,11,"الباحث القرآني﴿كَلَّا﴾ حرف ردع وزجر و ﴿لا﴾ نافية للجنس و ﴿وَزَرَ﴾ اسمها مبني على الفتح في محل نصب والخبر محذوف والجملة مستأنفة لا محل لها. و ﴿إِلى رَبِّكَ﴾
متعلقان بمحذوف خبر مقدم و ﴿يَوْمَئِذٍ﴾
ظرف زمان مضاف إلى مثله و ﴿الْمُسْتَقَرُّ﴾
مبتدأ مؤخر والجملة مستأنفة لا محل لها. و ﴿يُنَبَّؤُا﴾
مضارع مبني للمجهول و ﴿الْإِنْسانُ﴾
نائب فاعل والجملة مستأنفة و ﴿يَوْمَئِذٍ﴾
ظرف مضاف إلى مثله و ﴿بِما﴾
متعلقان بالفعل و ﴿قَدَّمَ﴾
ماض فاعله مستتر والجملة صلة ما ﴿وَأَخَّرَ﴾
معطوف على قدم.",Iraab ul Quran,https://tafsir.app/iraab-daas/75/11,2025-06-30 15:16:48
75,القيامة,Al-Qiyamah,12,"الباحث القرآني﴿كَلَّا﴾ حرف ردع وزجر و ﴿لا﴾ نافية للجنس و ﴿وَزَرَ﴾ اسمها مبني على الفتح في محل نصب والخبر محذوف والجملة مستأنفة لا محل لها. و ﴿إِلى رَبِّكَ﴾
متعلقان بمحذوف خبر مقدم و ﴿يَوْمَئِذٍ﴾
ظرف زمان مضاف إلى مثله و ﴿الْمُسْتَقَرُّ﴾
مبتدأ مؤخر والجملة مستأنفة لا محل لها. و ﴿يُنَبَّؤُا﴾
مضارع مبني للمجهول و ﴿الْإِنْسانُ﴾
نائب فاعل والجملة مستأنفة و ﴿يَوْمَئِذٍ﴾
ظرف مضاف إلى مثله و ﴿بِما﴾
متعلقان بالفعل و ﴿قَدَّمَ﴾
ماض فاعله مستتر والجملة صلة ما ﴿وَأَخَّرَ﴾
معطوف على قدم.",Iraab ul Quran,https://tafsir.app/iraab-daas/75/12,2025-06-30 15:16:50
75,القيامة,Al-Qiyamah,13,"الباحث القرآني﴿كَلَّا﴾ حرف ردع وزجر و ﴿لا﴾ نافية للجنس و ﴿وَزَرَ﴾ اسمها مبني على الفتح في محل نصب والخبر محذوف والجملة مستأنفة لا محل لها. و ﴿إِلى رَبِّكَ﴾
متعلقان بمحذوف خبر مقدم و ﴿يَوْمَئِذٍ﴾
ظرف زمان مضاف إلى مثله و ﴿الْمُسْتَقَرُّ﴾
مبتدأ مؤخر والجملة مستأنفة لا محل لها. و ﴿يُنَبَّؤُا﴾
مضارع مبني للمجهول و ﴿الْإِنْسانُ﴾
نائب فاعل والجملة مستأنفة و ﴿يَوْمَئِذٍ﴾
ظرف مضاف إلى مثله و ﴿بِما﴾
متعلقان بالفعل و ﴿قَدَّمَ﴾
ماض فاعله مستتر والجملة صلة ما ﴿وَأَخَّرَ﴾
معطوف على قدم.",Iraab ul Quran,https://tafsir.app/iraab-daas/75/13,2025-06-30 15:16:51
75,القيامة,Al-Qiyamah,14,"الباحث القرآني﴿بَلِ﴾
حرف إضراب وانتقال و ﴿الْإِنْسانُ﴾
مبتدأ و ﴿عَلى نَفْسِهِ﴾
متعلقان بالخبر ﴿بَصِيرَةٌ﴾
خبر والجملة مستأنفة ﴿وَلَوْ﴾
الواو حالية ﴿لَوْ﴾
زائدة و ﴿أَلْقى﴾
ماض فاعله مستتر و ﴿مَعاذِيرَهُ﴾
مفعول به والجملة حال.",Iraab ul Quran,https://tafsir.app/iraab-daas/75/14,2025-06-30 15:16:53
75,القيامة,Al-Qiyamah,15,"الباحث القرآني﴿بَلِ﴾
حرف إضراب وانتقال و ﴿الْإِنْسانُ﴾
مبتدأ و ﴿عَلى نَفْسِهِ﴾
متعلقان بالخبر ﴿بَصِيرَةٌ﴾
خبر والجملة مستأنفة ﴿وَلَوْ﴾
الواو حالية ﴿لَوْ﴾
زائدة و ﴿أَلْقى﴾
ماض فاعله مستتر و ﴿مَعاذِيرَهُ﴾
مفعول به والجملة حال.",Iraab ul Quran,https://tafsir.app/iraab-daas/75/15,2025-06-30 15:16:54
75,القيامة,Al-Qiyamah,16,"الباحث القرآني﴿لا تُحَرِّكْ﴾
مضارع مجزوم بلا الناهية والفاعل مستتر و ﴿بِهِ﴾
متعلقان بالفعل و ﴿لِسانَكَ﴾
مفعول به والجملة ابتدائية لا محل لها و ﴿لِتَعْجَلَ﴾
مضارع منصوب بأن مضمرة بعد لام التعليل والفاعل مستتر و ﴿بِهِ﴾
متعلقان بالفعل والمصدر المؤول من أن المضمرة والفعل في محل جر باللام والجار والمجرور متعلقان بتحرك. و ﴿إِنَّ﴾
حرف مشبه بالفعل و ﴿عَلَيْنا﴾
متعلقان بمحذوف خبر إن المقدم و ﴿جَمْعَهُ﴾
اسمها المؤخر و ﴿قُرْآنَهُ﴾
معطوف على ما قبله والجملة تعليل للنهي لا محل لها.",Iraab ul Quran,https://tafsir.app/iraab-daas/75/16,2025-06-30 15:16:56
